Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","196","Seychelles","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","130","E","Valeur estimée"
"QCL","Cultures et produits animaux","197","Sierra Leone","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","25106","I","Valeur imputée"
"QCL","Cultures et produits animaux","200","Singapour","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3841","I","Valeur imputée"
"QCL","Cultures et produits animaux","199","Slovaquie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","10409","A","Chiffre officiel"
"QCL","Cultures et produits animaux","198","Slovénie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4162","A","Chiffre officiel"
"QCL","Cultures et produits animaux","201","Somalie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3751","E","Valeur estimée"
"QCL","Cultures et produits animaux","276","Soudan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","50747","A","Chiffre officiel"
"QCL","Cultures et produits animaux","277","Soudan du Sud","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","15000","I","Valeur imputée"
"QCL","Cultures et produits animaux","38","Sri Lanka","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","24278","A","Chiffre officiel"
"QCL","Cultures et produits animaux","210","Suède","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","10780","A","Chiffre officiel"
"QCL","Cultures et produits animaux","211","Suisse","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","12429","A","Chiffre officiel"
"QCL","Cultures et produits animaux","207","Suriname","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5773","A","Chiffre officiel"
"QCL","Cultures et produits animaux","208","Tadjikistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","16000","E","Valeur estimée"
"QCL","Cultures et produits animaux","39","Tchad","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","6077","E","Valeur estimée"
"QCL","Cultures et produits animaux","216","Thaïlande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","284784","E","Valeur estimée"
